#Mass	 #Pos	 #RadialVel	 #TransVel	 #Potential
   0.0010	    1.0455	   -0.2584	   -0.6106	   -0.0218
   0.0010	    1.0456	    0.0593	    0.4668	   -0.0211
   0.0010	    1.0523	    0.2247	   -0.5952	   -0.0064
   0.0010	    1.0550	    0.1791	   -0.1560	   -0.0073
   0.0010	    1.0561	    0.2471	   -0.8622	   -0.0076
   0.0010	    1.0582	   -0.4379	   -0.3104	   -0.0138
   0.0010	    1.0583	   -0.0801	   -0.3273	   -0.0138
   0.0010	    1.0622	    0.2338	    0.4506	   -0.0096
   0.0010	    1.0628	    0.3127	    0.6959	   -0.0143
   0.0010	    1.0630	    0.5288	    0.1293	   -0.0142
   0.0010	    1.0636	    0.6554	    0.4450	   -0.0094
   0.0010	    1.0656	   -0.4602	    0.5975	   -0.0072
   0.0010	    1.0684	    0.1295	   -0.2358	   -0.0071
   0.0010	    1.0702	   -0.0314	    0.5035	   -0.0080
   0.0010	    1.0710	    0.0086	   -0.2843	   -0.0083
   0.0010	    1.0719	    0.1883	   -0.6255	   -0.0076
   0.0010	    1.0741	    0.4002	   -0.4321	   -0.0064
   0.0010	    1.0787	    0.0454	   -0.2234	   -0.0059
   0.0010	    1.0832	   -0.5363	   -0.1956	   -0.0073
   0.0010	    1.0843	    0.1535	    0.7075	   -0.0088
   0.0010	    1.0848	   -0.0871	    0.3094	   -0.0086
   0.0010	    1.0874	    0.1731	    0.7211	   -0.0142
   0.0010	    1.0875	   -0.2649	   -0.8131	   -0.0143
   0.0010	    1.0885	   -0.3712	   -0.0814	   -0.0080
   0.0010	    1.0915	   -0.0478	    0.1963	   -0.0140
   0.0010	    1.0917	   -0.0448	   -0.1229	   -0.0140
   0.0010	    1.0962	   -0.0859	   -0.3311	   -0.0156
   0.0010	    1.0963	   -0.1015	    0.3490	   -0.0158
   0.0010	    1.0973	    0.1777	   -0.1355	   -0.0106
   0.0010	    1.0977	    0.1425	   -0.2486	   -0.0108
   0.0010	    1.0982	    0.0140	    0.7216	   -0.0091
   0.0010	    1.1039	   -0.0485	   -0.3867	   -0.0120
   0.0010	    1.1041	    0.0364	   -0.2424	   -0.0120
   0.0010	    1.1082	    0.0511	    0.2770	   -0.0059
   0.0010	    1.1104	   -0.0614	   -0.3785	   -0.0060
   0.0010	    1.1132	    0.2783	   -0.3684	   -0.0062
   0.0010	    1.1150	   -0.5489	   -0.2639	   -0.0064
   0.0010	    1.1169	   -0.2772	   -0.7673	   -0.0064
   0.0010	    1.1191	   -0.3966	   -0.4508	   -0.0067
   0.0010	    1.1202	    0.1345	    0.5472	   -0.0067
   0.0010	    1.1223	    0.0630	    0.3960	   -0.0061
   0.0010	    1.1252	   -0.4489	    0.5533	   -0.0060
   0.0010	    1.1285	   -0.0627	   -0.6078	   -0.0071
   0.0010	    1.1294	    0.1768	   -0.7092	   -0.0082
   0.0010	    1.1302	    0.1519	    0.5299	   -0.0087
   0.0010	    1.1308	   -0.0527	    0.0965	   -0.0083
